Designator,Footprint,Quantity,Value,LCSC Part #
AS5600-1,PinHeader_1x06_P2.54mm_Vertical,1,AoS,
AS5600-2,PinHeader_1x06_P2.54mm_Vertical,1,AoA,
"BATT1, BATT2, BATT4, BATT5",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,4,Conn_01x02,
BT2,BatteryHolder_Seiko_MS621F,1,MS621,
C1,0603,1,0.1uF,
"C2, C3",0603,2,47uF,
"D1, D2, D3, D4",0603,4,LED,
D5,Nexperia_CFP3_SOD-123W,1,D,
DPS311,PinHeader_1x07_P2.54mm_Vertical,1,Adafruit DPS310,
J1,CON_5051104096_MOL,1,5051104096,
J10,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,pot,
"J11, J14",JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,2,RE12A,
J12,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,RS485_airdata,
J13,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,Conn_01x03 speaker,
J15,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,encoder_direct,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
J3,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,URM37,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,servo,
J5,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,RS485_TFT,
J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,encoder_direct,
J7,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,RS485_logger_2,
J8,JST_XH_S4B-XH-SM4-TB_1x04-1MP_P2.50mm_Horizontal,1,RS485_logger,
J9,MODULE_4754_without_holes,1,BNO085,
"Q1, Q2",SOT-23,2,NPN,
"R1, R13, R18, R19, R2, R21, R3, R37, R38, R40, R41, R42, R44, R45, R46, R9",0603,16,10k,
"R10, R20",0603,2,3.3k,
"R11, R12, R14, R25, R27, R6, R7, R8",0603,8,2k,
"R15, R22, R23, R31",0603,4,100,
"R16, R43",0603,2,2k2,
R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2,
"R24, R28, R33, R34, R35, R36",0603,6,220k,
"R26, R39",0603,2,150,
"R32, R5",0603,2,120,
R4,0603,1,680,
SW1,CLSB12A02T,1,SW_DIP_x01,
U1,XIAO-ESP32C3-SMD_battery_handsolder,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3_TFT,
"U10, U7",SOP-8_3.9x4.9mm_P1.27mm,2,TJ393,
U11,XIAO-ESP32C3-SMD_battery_handsolder,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3_pot,
"U2, U4, U8",SOIC-8_3.9x4.9mm_P1.27mm,3,MAX3485,
"U3, U9",XIAO-ESP32C3-SMD_battery_handsolder,2,MOUDLE-SEEEDUINO-XIAO-ESP32C3_airdata,
U5,XIAO-ESP32C3-SMD_battery_handsolder,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3_logger,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,DS3231MZ,
